concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
peach,sandstorm,WH,MY,0.0718985917347883,0.07244843994885763
angry,peace,WH,MY,0.5434304452653935,0.5709942524250229
angry,happy,WH,MY,0.48613189521867906,0.4915344811925997
angry,lightning,WH,MY,0.23296604749696137,0.23295443788358128
angry,death,WH,MY,0.41168439753159913,0.44245775876453197
angry,banana,WH,MY,0.29972582266275616,0.31190347304169164
angry,sandstorm,WH,MY,0.16609652042661183,0.17164147834412624
peace,happy,WH,MY,0.0727081064796038,0.07311896080365599
peace,lightning,WH,MY,0.30655648100566446,0.30527354374635673
peace,death,WH,MY,0.13149071715783012,0.13956398707733308
peace,banana,WH,MY,0.6918844176194354,0.7059459196699887
peace,sandstorm,WH,MY,0.5886683244448434,0.5997392456614552
happy,lightning,WH,MY,0.24213905456575358,0.23314617119871572
happy,death,WH,MY,0.06224687306249166,0.06368840528459119
happy,banana,WH,MY,0.6521155325054855,0.648180066468925
happy,sandstorm,WH,MY,0.542967132444178,0.5389374175055228
lightning,death,WH,MY,0.1757710613030864,0.17788943449900485
lightning,banana,WH,MY,0.4585990094966894,0.45163755103846115
lightning,sandstorm,WH,MY,0.3409868089846442,0.33559501504587685
death,banana,WH,MY,0.593687770387042,0.6152916392420442
death,sandstorm,WH,MY,0.4839344308453719,0.5001884406819446
banana,sandstorm,WH,MY,0.10644983072489245,0.10764508885162716
sick,safety,WH,DH,0.012037500267412016,0.01210359333161859
sick,mango,WH,DH,0.42983471989592514,0.4191368059143672
sick,justice,WH,DH,0.4143094157665832,0.4360553836286638
sick,sad,WH,DH,0.07117934682344829,0.07102822777312268
sick,tree,WH,DH,0.5544672412670049,0.555858611201538
sick,peach,WH,DH,0.290832370778469,0.28767661196695427
sick,angry,WH,DH,0.23764128111495886,0.24470472646622787
sick,peace,WH,DH,0.3528359541767849,0.36278098090393995
sick,happy,WH,DH,0.3605508279916041,0.3626072554357238
sick,lightning,WH,DH,0.1572219494619036,0.15628017314684128
sick,death,WH,DH,0.19937296849963837,0.2110407708976727
sick,banana,WH,DH,0.3425190718669038,0.35048919959362057
sick,sandstorm,WH,DH,0.01929821725885117,0.019788745532440255
safety,mango,WH,DH,0.44124522196835314,0.42792124029503475
safety,justice,WH,DH,0.40353842948032215,0.4222183055338078
safety,sad,WH,DH,0.08373282677931804,0.08305573348980544
safety,tree,WH,DH,0.5646591621092847,0.5629731979144987
safety,peach,WH,DH,0.30321691171927156,0.29811370061810427
safety,angry,WH,DH,0.25070815515123046,0.25630596106377346
safety,peace,WH,DH,0.3415757867238812,0.349113245981038
safety,happy,WH,DH,0.3490859680080789,0.34893734481487404
safety,lightning,WH,DH,0.14462833182885315,0.14286033051172242
safety,death,WH,DH,0.18768783850754212,0.19748048464884937
safety,banana,WH,DH,0.35418394876022785,0.3602365238195864
safety,sandstorm,WH,DH,0.006737480312150379,0.006865185295413689
mango,justice,WH,DH,0.7738011443017035,0.781791862969525
mango,sad,WH,DH,0.3824216800996374,0.36629800400594703
mango,tree,WH,DH,0.16700105634441975,0.1595078527460172
mango,peach,WH,DH,0.16981743692221551,0.15984799133414807
mango,angry,WH,DH,0.24763291808933674,0.24324078535198224
mango,peace,WH,DH,0.7335873475987325,0.7275611351901977
mango,happy,WH,DH,0.7473074152710164,0.7274826073547425
mango,lightning,WH,DH,0.5984585670555072,0.5731210493403087
mango,death,WH,DH,0.6054359112863301,0.6162725741146869
