concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
tree,peace,WH,LY,0.2483565222100126,0.25133494809388446
tree,happy,WH,LY,0.2109509192067136,0.2065131745341
tree,lightning,WH,LY,0.34492406272120724,0.36977246506813954
tree,death,WH,LY,0.5821873368027342,0.6541839477496705
tree,banana,WH,LY,0.7774926884750724,0.7932515990597107
tree,sandstorm,WH,LY,0.32021915029108206,0.3240282085419004
peach,angry,WH,LY,0.49122626963752514,0.5430348460119871
peach,peace,WH,LY,0.5134162113905532,0.5087834830663105
peach,happy,WH,LY,0.1377680909022707,0.13236330557961706
peach,lightning,WH,LY,0.5906610718689616,0.6087593629870647
peach,death,WH,LY,0.7569455825794484,0.8012392341463948
peach,banana,WH,LY,0.45350950200405227,0.4516712528550637
peach,sandstorm,WH,LY,0.030886407023236973,0.030504579796360343
angry,peace,WH,LY,0.12231885389474784,0.13468992987985828
angry,happy,WH,LY,0.3168155586128867,0.33820070030763416
angry,lightning,WH,LY,0.21505711774645442,0.2536452782973565
angry,death,WH,LY,0.4598403673713105,0.5730288580153376
angry,banana,WH,LY,0.8107230455663772,0.8804700041575033
angry,sandstorm,WH,LY,0.4146032813977709,0.4558142047656373
peace,happy,WH,LY,0.3736820620020842,0.3661298194286766
peace,lightning,WH,LY,0.0786817763155856,0.08189724488938621
peace,death,WH,LY,0.29990071446870803,0.32486257411008335
peace,banana,WH,LY,0.7794194623974269,0.7836783785837325
peace,sandstorm,WH,LY,0.4544787490802631,0.45456989002754034
happy,lightning,WH,LY,0.4512122417907394,0.45815153307218326
happy,death,WH,LY,0.6351809157524908,0.6649781166940593
happy,banana,WH,LY,0.5247398819431008,0.5152841705676465
happy,sandstorm,WH,LY,0.09771754706289659,0.09537916412210734
lightning,death,WH,LY,0.2287582257148505,0.26183005342223464
lightning,banana,WH,LY,0.8300307027550458,0.856770816747594
lightning,sandstorm,WH,LY,0.528115884073389,0.5470669979890208
death,banana,WH,LY,0.9177597744549082,0.9523574259819045
death,sandstorm,WH,LY,0.6959256828902569,0.7393192926816261
banana,sandstorm,WH,LY,0.434132729005545,0.43769555461728915
sick,safety,WH,SY,0.21779934342342722,0.24178905813464202
sick,mango,WH,SY,0.3213436772613638,0.35086234682697404
sick,justice,WH,SY,0.46351976013771845,0.532741347599622
sick,sad,WH,SY,0.4268451491515428,0.5002885254944986
sick,tree,WH,SY,0.010817939702720158,0.012402213712277677
sick,peach,WH,SY,0.016352176342699698,0.019559754222980175
sick,angry,WH,SY,0.05850677707641838,0.072890336971973
sick,peace,WH,SY,0.47388835108978933,0.5246417852388783
sick,happy,WH,SY,0.19273545919056367,0.20950115171105277
sick,lightning,WH,SY,0.271110842042082,0.33627321559633194
sick,death,WH,SY,0.5273044792182879,0.6294982684941366
sick,banana,WH,SY,0.831378408459174,0.9195001194728514
sick,sandstorm,WH,SY,0.12899129910784501,0.14994930064954326
safety,mango,WH,SY,0.505855128560444,0.5128766099628939
safety,justice,WH,SY,0.24936679601344458,0.27132918497458114
safety,sad,WH,SY,0.15365228420311472,0.16437676632378007
safety,tree,WH,SY,0.236747922434708,0.24646004543453026
safety,peach,WH,SY,0.2532922197069043,0.27253905139303614
safety,angry,WH,SY,0.17924828772296353,0.19978022184762656
safety,peace,WH,SY,0.25454352422922544,0.2674583541137312
safety,happy,WH,SY,0.3916826333448249,0.39816446955541074
safety,lightning,WH,SY,0.04866116896517547,0.05567041652522098
safety,death,WH,SY,0.3075714746081978,0.3456840986783781
safety,banana,WH,SY,0.8838382403009155,0.9158035334933678
safety,sandstorm,WH,SY,0.10362727143961226,0.11110995608984675
mango,justice,WH,SY,0.7136371274608918,0.746608239897305
mango,sad,WH,SY,0.7607101740026848,0.772345032734776
mango,tree,WH,SY,0.39571090119509456,0.39094053978159193
mango,peach,WH,SY,0.3507375015304359,0.3646622770590009
mango,angry,WH,SY,0.40942447163442364,0.44602823976047967
mango,peace,WH,SY,0.7287239319525178,0.7380220491641742
mango,happy,WH,SY,0.12784987519278768,0.12383010564075925
mango,lightning,WH,SY,0.5591797546237308,0.6211235914068929
mango,death,WH,SY,0.7737235271490485,0.8262105579735043
mango,banana,WH,SY,0.7282149537248415,0.7570476840283025
mango,sandstorm,WH,SY,0.4559991813886628,0.47263774300525807
justice,sad,WH,SY,0.15406332857231542,0.17605024923575208
justice,tree,WH,SY,0.5103756351952635,0.5557362079291823
justice,peach,WH,SY,0.5166144188268884,0.5789365573946825
justice,angry,WH,SY,0.4450918502767671,0.5175421832294562
justice,peace,WH,SY,4.6131778713887073e-4,5.076587416630307e-4
justice,happy,WH,SY,0.6155963469365471,0.6465002881993267
justice,lightning,WH,SY,0.20621966154419025,0.2475523186748283
justice,death,WH,SY,0.05111277257511426,0.06117624801197452
justice,banana,WH,SY,0.9553337253825489,0.9831500435595526
justice,sandstorm,WH,SY,0.3660777543661924,0.40925730406934324
sad,tree,WH,SY,0.5070037917372419,0.5411201471857723
