expCountry,concept,color,weight,se,hex,barStroke
usa,safety,MG,0.463,0.046,#62ae88,#62ae88
usa,safety,MH,0.332,0.038,#a0b668,#a0b668
usa,safety,MO,0.276,0.041,#ce916c,#ce916c
usa,safety,MP,0.298,0.042,#a66fbd,#a66fbd
usa,safety,MR,0.272,0.038,#c5666b,#c5666b
usa,safety,MY,0.321,0.038,#dab572,#dab572
usa,safety,SB,0.502,0.047,#4fa7ef,#4fa7ef
usa,safety,SC,0.4,0.045,#27d1cd,#27d1cd
usa,safety,SG,0.507,0.047,#04c981,#04c981
usa,safety,SH,0.39,0.041,#bde638,#bde638
usa,safety,SO,0.407,0.049,#f89e2d,#f89e2d
usa,safety,SP,0.281,0.038,#b740da,#b740da
usa,safety,SR,0.334,0.05,#f03a52,#f03a52
usa,safety,SY,0.459,0.051,#fff329,#fff329
usa,safety,WH,0.51,0.051,#ffffff,#000000
usa,sandstorm,A1,0.345,0.049,#656168,#656168
usa,sandstorm,A2,0.425,0.047,#9d97a0,#9d97a0
usa,sandstorm,A3,0.364,0.042,#d8cfdb,#d8cfdb
usa,sandstorm,BK,0.318,0.045,#323033,#323033
usa,sandstorm,DB,0.078,0.021,#386089,#386089
usa,sandstorm,DC,0.069,0.019,#297375,#297375
usa,sandstorm,DG,0.068,0.017,#21704f,#21704f
usa,sandstorm,DH,0.146,0.028,#677f35,#677f35
usa,sandstorm,DO,0.612,0.038,#864d2b,#864d2b
usa,sandstorm,DP,0.039,0.012,#723484,#723484
usa,sandstorm,DR,0.199,0.034,#8a2b38,#8a2b38
usa,sandstorm,DY,0.598,0.042,#8a7527,#8a7527
usa,sandstorm,LB,0.094,0.024,#aacffb,#aacffb
usa,sandstorm,LC,0.095,0.026,#9de5e4,#9de5e4
usa,sandstorm,LG,0.08,0.022,#95e2b8,#95e2b8
usa,sandstorm,LH,0.232,0.04,#dbf099,#dbf099
usa,sandstorm,LO,0.678,0.041,#fbc9a3,#fbc9a3
usa,sandstorm,LP,0.05,0.014,#dfa7fa,#dfa7fa
usa,sandstorm,LR,0.234,0.041,#fc9fa3,#fc9fa3
usa,sandstorm,LY,0.535,0.045,#fff498,#fff498
usa,sandstorm,MB,0.102,0.024,#7196c0,#7196c0
usa,sandstorm,MC,0.089,0.021,#65acac,#65acac
usa,sandstorm,MG,0.073,0.019,#62ae88,#62ae88
usa,sandstorm,MH,0.165,0.033,#a0b668,#a0b668
usa,sandstorm,MO,0.714,0.035,#ce916c,#ce916c
usa,sandstorm,MP,0.049,0.014,#a66fbd,#a66fbd
usa,sandstorm,MR,0.213,0.038,#c5666b,#c5666b
usa,sandstorm,MY,0.725,0.044,#dab572,#dab572
usa,sandstorm,SB,0.065,0.021,#4fa7ef,#4fa7ef
usa,sandstorm,SC,0.066,0.019,#27d1cd,#27d1cd
usa,sandstorm,SG,0.043,0.011,#04c981,#04c981
usa,sandstorm,SH,0.092,0.02,#bde638,#bde638
usa,sandstorm,SO,0.443,0.044,#f89e2d,#f89e2d
usa,sandstorm,SP,0.045,0.015,#b740da,#b740da
usa,sandstorm,SR,0.094,0.025,#f03a52,#f03a52
