concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
lightning,tree,LY,MR,0.03637216262520898,0.677410298769594,low,high,MG_low__US_high
lightning,tree,LP,SC,0.04992903911670177,0.032948122982893346,low,low,MG_low__US_low
mango,peace,SO,WH,0.7389243626830715,0.9557424761136457,high,high,MG_high__US_high
mango,peace,A3,DB,0.6090673624456231,0.02890691679884383,high,low,MG_high__US_low
mango,peace,DY,MG,0.06487231191833698,0.6215153614807818,low,high,MG_low__US_high
mango,peace,LP,MC,7.869170865959507e-4,0.07378551876650485,low,low,MG_low__US_low
mango,peach,LR,SY,0.49427812761946793,0.5931388529405948,high,high,MG_high__US_high
mango,peach,DR,SY,0.5015713066704084,0.12686414443362626,high,low,MG_high__US_low
mango,peach,DR,LR,0.007699210859022809,0.5840580873144758,low,high,MG_low__US_high
mango,peach,MG,MY,0.045029128941523,0.06606411417184055,low,low,MG_low__US_low
mango,sad,SO,WH,0.5720687445402068,0.9754884858264057,high,high,MG_high__US_high
mango,sad,DP,SB,0.41289716878553456,0.12947798298078506,high,low,MG_high__US_low
mango,sad,DC,LO,0.07555097100351738,0.8003622169347946,low,high,MG_low__US_high
mango,sad,LB,MC,0.0301469183953742,0.030646964354696882,low,low,MG_low__US_low
mango,safety,DP,SO,0.3317062475181245,0.7763123165452401,high,high,MG_high__US_high
mango,safety,DH,SR,0.34269412495016893,0.10302798593322665,high,low,MG_high__US_low
mango,safety,MO,SP,0.03989500289590908,0.698146184891228,low,high,MG_low__US_high
mango,safety,MC,SC,0.025857602959209247,0.049029159678257495,low,low,MG_low__US_low
mango,sandstorm,A1,MR,0.4974160700242798,0.6610410840047147,high,high,MG_high__US_high
mango,sandstorm,SG,SR,0.48130020535538476,0.13881498331569575,high,low,MG_high__US_low
mango,sandstorm,DR,MP,0.0506644339169513,0.08470976225321936,low,low,MG_low__US_low
mango,sick,BK,MR,0.3983298949845595,0.6976546357407545,high,high,MG_high__US_high
mango,sick,DR,MG,0.4523610608386648,0.06505752809684506,high,low,MG_high__US_low
mango,sick,DY,LO,0.03347507799264848,0.7408158002812559,low,high,MG_low__US_high
mango,sick,LB,MC,0.0174302767787744,0.0759596129922584,low,low,MG_low__US_low
mango,tree,LC,SO,0.48603533509372165,0.9172341515570537,high,high,MG_high__US_high
mango,tree,MO,SY,0.48847203464664934,0.1346014960215931,high,low,MG_high__US_low
mango,tree,MB,MH,0.004029908092929302,0.6418031574796461,low,high,MG_low__US_high
mango,tree,DY,MP,0.05284860361040883,0.14365618186936452,low,low,MG_low__US_low
peace,peach,DR,LB,0.351813178465687,0.9129050532046572,high,high,MG_high__US_high
peace,peach,LC,WH,0.41931629890456135,0.1521443926059829,high,low,MG_high__US_low
peace,peach,LC,LY,0.005535059589488911,0.6146171505970321,low,high,MG_low__US_high
peace,peach,DB,DC,0.07195245232905734,0.0782502380110417,low,low,MG_low__US_low
peace,sad,A2,SG,0.625846709828739,0.8694529257928223,high,high,MG_high__US_high
peace,sad,DG,DP,0.38502023654134976,0.1327337326144855,high,low,MG_high__US_low
peace,sad,DY,MP,0.07683132674733018,0.6648652923466996,low,high,MG_low__US_high
peace,sad,LC,LO,0.06578802919522886,0.09583670708706404,low,low,MG_low__US_low
peace,safety,DR,LB,0.338655148981474,0.6180623152656164,high,high,MG_high__US_high
peace,safety,MO,WH,0.3420539480159177,0.06384916846905164,high,low,MG_high__US_low
peace,safety,DP,MO,0.06575235523472478,0.03292147177675986,low,low,MG_low__US_low
peace,sandstorm,A1,MG,0.43989646201364035,0.779757786702278,high,high,MG_high__US_high
peace,sandstorm,A3,DH,0.37240149869986605,0.006234967758078247,high,low,MG_high__US_low
peace,sandstorm,LP,SR,0.029724621247942284,0.6429339337668207,low,high,MG_low__US_high
peace,sandstorm,LY,MR,0.0023620306619747122,0.14789904605975734,low,low,MG_low__US_low
peace,sick,A1,LB,0.3365268594798525,0.8935384603615846,high,high,MG_high__US_high
peace,sick,A3,MP,0.4519674288377644,0.01866220601053792,high,low,MG_high__US_low
peace,sick,DB,DH,0.06111514607806612,0.7474232371118235,low,high,MG_low__US_high
peace,sick,MB,MC,0.023873571301350704,0.0491445559458592,low,low,MG_low__US_low
peace,tree,DG,SO,0.5743812206025265,0.6931060995982499,high,high,MG_high__US_high
peace,tree,SC,WH,0.4235272508330859,0.05293447492918807,high,low,MG_high__US_low
peace,tree,LB,SR,0.05572563875302805,0.8220463307061088,low,high,MG_low__US_high
peace,tree,DC,SY,0.019483674355390113,0.04240681421502002,low,low,MG_low__US_low
peach,sad,DP,MY,0.4128850107395645,0.7848400724421447,high,high,MG_high__US_high
peach,sad,DO,MP,0.3378742644467754,0.006088507682401545,high,low,MG_high__US_low
peach,sad,MO,SC,0.015978889435579402,0.8949426004110523,low,high,MG_low__US_high
peach,sad,LY,MY,0.010406673882703332,0.11660889092491589,low,low,MG_low__US_low
peach,safety,DO,SB,0.33706920706554433,0.6734402685608114,high,high,MG_high__US_high
peach,safety,A3,MH,0.3340214680901683,0.13604731758239597,high,low,MG_high__US_low
peach,safety,MO,SY,0.0704566853521913,0.7941065221742092,low,high,MG_low__US_high
peach,safety,MY,SO,0.03875860667300812,0.0818888304825185,low,low,MG_low__US_low
peach,sandstorm,A2,SC,0.4438568253749069,0.7009295679570595,high,high,MG_high__US_high
peach,sandstorm,MO,SR,0.49205570216638034,0.037229678025565927,high,low,MG_high__US_low
peach,sandstorm,DH,LR,0.05558376964799261,0.7063039755970499,low,high,MG_low__US_high
peach,sandstorm,MH,MP,0.05164450812516708,0.03186288131868209,low,low,MG_low__US_low
peach,sick,LR,MP,0.40249956567418366,0.8392881552892559,high,high,MG_high__US_high
peach,sick,A3,SY,0.4703439708111649,0.134661212747208,high,low,MG_high__US_low
peach,sick,DY,SC,0.06299625323390345,0.7718610143021323,low,high,MG_low__US_high
peach,sick,SR,SY,0.07421345455606643,0.11021124250365721,low,low,MG_low__US_low
peach,tree,SG,SO,0.3625290898293436,0.9398418124694863,high,high,MG_high__US_high
peach,tree,A2,DR,0.3439712885003434,0.060473115084268114,high,low,MG_high__US_low
peach,tree,A2,MY,0.06310968863958699,0.6273151861060349,low,high,MG_low__US_high
peach,tree,A1,LH,0.055992405622914854,0.07215834771974605,low,low,MG_low__US_low
sad,safety,A2,LO,0.49314582574908705,0.7816007610194227,high,high,MG_high__US_high
sad,safety,MP,SB,0.5822820343068318,0.08553234926608866,high,low,MG_high__US_low
sad,safety,DB,SY,0.010950970986720543,0.6033688783672373,low,high,MG_low__US_high
sad,safety,DG,LY,0.04360428428876606,0.02277938540136515,low,low,MG_low__US_low
sad,sandstorm,DC,MO,0.34429741975081285,0.868232954216589,high,high,MG_high__US_high
sad,sandstorm,LC,MP,0.372736428939316,0.0033995476951551584,high,low,MG_high__US_low
