concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
angry,sandstorm,MG_low__US_low,DB,DC,0.04233424556700838,0.06680398548278665
angry,sick,MG_low__US_low,DB,DC,0.018811355027147203,0.13631441099933772
banana,mango,MG_low__US_low,DB,DC,0.041029679523589324,0.0566495413859438
banana,peace,MG_low__US_low,DB,DC,0.06871286124092735,0.05543841954894241
banana,peach,MG_low__US_low,DB,DC,0.01883000270320062,0.0770578373498656
banana,sandstorm,MG_low__US_low,DB,DC,0.026084842616857562,0.1136651291752902
banana,sick,MG_low__US_low,DB,DC,0,0.05444183459331442
death,sad,MG_low__US_low,DB,DC,0.05762071280691439,0.08604895062721646
happy,justice,MG_low__US_low,DB,DC,0.05288087362463045,0.1038450698065978
justice,lightning,MG_low__US_low,DB,DC,0.052260298046729936,0
justice,safety,MG_low__US_low,DB,DC,0.03925889632575963,0.05971012835526168
lightning,safety,MG_low__US_low,DB,DC,0.010760775526034161,0.07539954437450103
mango,peach,MG_low__US_low,DB,DC,0.01832643503056408,0.12599808256650857
mango,sandstorm,MG_low__US_low,DB,DC,0.016424825226496687,0.06940663895792754
mango,sick,MG_low__US_low,DB,DC,0.03099367236858197,0.07558942079359321
peace,peach,MG_low__US_low,DB,DC,0.07195245232905734,0.0782502380110417
peace,sandstorm,MG_low__US_low,DB,DC,0.0803206109447423,0.017736925587052976
peace,sick,MG_low__US_low,DB,DC,0.05425805235952064,0.07848559345202433
peach,sick,MG_low__US_low,DB,DC,0.01413297924362622,0.020099114964047038
sandstorm,sick,MG_low__US_low,DB,DC,0.018383265107756452,0.10349608174046554
angry,peace,MG_low__US_low,DB,DG,0.043597922746262396,0.12996538558940035
angry,safety,MG_low__US_low,DB,DG,0.050505563658229,0.0745609856939482
angry,tree,MG_high__US_high,DB,DG,0.6506143849948627,0.9830406030157095
banana,lightning,MG_high__US_high,DB,DG,0.6207741956299095,0.6237510291472623
banana,mango,MG_low__US_low,DB,DG,0.012179317488379082,0.11651134426304743
banana,sad,MG_high__US_high,DB,DG,0.4527673407085129,0.6081226584447821
banana,safety,MG_high__US_low,DB,DG,0.4289118804877481,0.10300864024327505
banana,sick,MG_high__US_low,DB,DG,0.42640015565075573,0.1355326051251684
death,peace,MG_low__US_low,DB,DG,0.06429759909561161,0.05509206967370672
death,tree,MG_high__US_high,DB,DG,0.7102148719625121,0.985900069084241
happy,justice,MG_low__US_low,DB,DG,0.062031561403181446,0.07423885430706095
happy,safety,MG_low__US_low,DB,DG,0.044082281946232094,0.10436300566957946
happy,sandstorm,MG_low__US_low,DB,DG,0.024855924444238342,0.03276960446348087
happy,tree,MG_high__US_high,DB,DG,0.6339272661721747,0.877572811728295
justice,lightning,MG_low__US_low,DB,DG,0.06610132761372745,0.06480241032406564
justice,tree,MG_high__US_high,DB,DG,0.7401927821656742,0.9022292038656465
lightning,mango,MG_high__US_high,DB,DG,0.5841228894906974,0.6555421201933078
lightning,tree,MG_high__US_high,DB,DG,0.7809680333578715,0.9968717922858177
mango,sad,MG_high__US_high,DB,DG,0.4178621210847724,0.6406033608138944
mango,sick,MG_high__US_low,DB,DG,0.39552576202018197,0.051473829871848675
peace,tree,MG_high__US_high,DB,DG,0.5772395820275564,0.8834116333101605
peach,tree,MG_high__US_high,DB,DG,0.36296582227913765,0.9854702450354687
sad,sick,MG_low__US_high,DB,DG,0.0021076310987220293,0.5896440682468
sad,tree,MG_high__US_high,DB,DG,0.6575926855019372,0.9678835510789001
safety,sandstorm,MG_low__US_low,DB,DG,0.029011028136853634,0.10758126057672102
safety,tree,MG_high__US_high,DB,DG,0.6112708535240619,0.8105412737290911
sandstorm,tree,MG_high__US_high,DB,DG,0.7612237619069289,0.9976159574069092
sick,tree,MG_high__US_high,DB,DG,0.6234115147061035,0.774515711883039
